graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,8,9,4.34,-1,xgboost,9,0.9676,0.966629054310934,0.9673744818534904,0.9667694013366184
sbm10k,n2v,10,9,4.53,-1,xgboost,0,0.972,0.9708877283353536,0.9718867110444566,0.971224533118466
sbm10k,n2v,10,9,4.54,-1,xgboost,1,0.9752,0.9743789265300468,0.9744467927168636,0.974269854617027
sbm10k,n2v,10,9,4.53,-1,xgboost,2,0.976,0.9751924222652284,0.9754862727678671,0.9751215324180474
sbm10k,n2v,10,9,4.46,-1,xgboost,3,0.97,0.9694607126837496,0.970031309271498,0.9695629745013248
sbm10k,n2v,10,9,4.5,-1,xgboost,4,0.9728,0.9723019669536904,0.97242793557547,0.9721668931298766
sbm10k,n2v,10,9,5.49,-1,xgboost,5,0.9752,0.9751328899452324,0.973657542130572,0.9741532815052174
sbm10k,n2v,10,9,4.56,-1,xgboost,6,0.9716,0.9708725205446764,0.9717667082903472,0.9709185870840852
sbm10k,n2v,10,9,4.5,-1,xgboost,7,0.9756,0.9758604481712676,0.9746048637068376,0.9750664778684468
sbm10k,n2v,10,9,4.64,-1,xgboost,8,0.9804,0.9801156005798872,0.9799141995509878,0.9799076013498348
sbm10k,n2v,10,9,4.56,-1,xgboost,9,0.982,0.9809581451487356,0.9821043086591376,0.9813462734917654
sbm10k,n2v,12,9,4.53,-1,xgboost,0,0.9808,0.9805388551464512,0.9805468187056832,0.9804211316501398
sbm10k,n2v,12,9,4.43,-1,xgboost,1,0.9784,0.9783101222714364,0.9783199030690262,0.9782257441608704
sbm10k,n2v,12,9,4.5,-1,xgboost,2,0.9792,0.9783721184719326,0.9788051060744444,0.9784286377560996
sbm10k,n2v,12,9,4.54,-1,xgboost,3,0.9764,0.9763859950072344,0.9761528867238864,0.9760741347156024
sbm10k,n2v,12,9,4.33,-1,xgboost,4,0.9792,0.978950868620495,0.9789564992114294,0.9788458098516708
sbm10k,n2v,12,9,4.43,-1,xgboost,5,0.982,0.9811420428761832,0.9813559980926828,0.9811494555614266
sbm10k,n2v,12,9,4.32,-1,xgboost,6,0.9772,0.9770668208007456,0.9776369796984576,0.9770967265487706
sbm10k,n2v,12,9,4.36,-1,xgboost,7,0.98,0.9797270343732368,0.97980092652453,0.9795804197200634
sbm10k,n2v,12,9,4.37,-1,xgboost,8,0.9824,0.9820878582003116,0.9814790232094958,0.9815905404359946
sbm10k,n2v,12,9,4.59,-1,xgboost,9,0.9864,0.9860892445992336,0.986512797607692,0.9861906854158028
sbm10k,n2v,14,9,5.14,-1,xgboost,0,0.9844,0.9843419808536116,0.98428864652661,0.9842053067060034
sbm10k,n2v,14,9,5.03,-1,xgboost,1,0.9836,0.9832808566398712,0.9831078109479814,0.98313949152941
sbm10k,n2v,14,9,5.1,-1,xgboost,2,0.9888,0.9882801957205024,0.988805754091725,0.9884641837459988
sbm10k,n2v,14,9,4.83,-1,xgboost,3,0.9792,0.9794865891564613,0.9790913019476402,0.979127908807451
sbm10k,n2v,14,9,4.91,-1,xgboost,4,0.9844,0.984487554512409,0.9840550191039402,0.9841593197784194
sbm10k,n2v,14,9,5.09,-1,xgboost,5,0.982,0.982225627452164,0.981640553634064,0.9818253103584492
sbm10k,n2v,14,9,5.01,-1,xgboost,6,0.98,0.9794114336111956,0.9801522703870555,0.9795729495209766
sbm10k,n2v,14,9,4.96,-1,xgboost,7,0.9816,0.9815575865090173,0.9811498620713144,0.981220925056362
sbm10k,n2v,14,9,5.0,-1,xgboost,8,0.984,0.9838532520469448,0.98368110244901,0.9836769534828372
sbm10k,n2v,14,9,5.1,-1,xgboost,9,0.988,0.987616874821151,0.9879065012557464,0.987709859404012
sbm10k,n2v,16,9,5.1,-1,xgboost,0,0.9848,0.9853165238264135,0.9848614648640154,0.9849820666257946
sbm10k,n2v,16,9,6.17,-1,xgboost,1,0.9872,0.9868570447279338,0.9872052953821756,0.98695946753768
sbm10k,n2v,16,9,5.09,-1,xgboost,2,0.9864,0.9863717584532046,0.9862427556213268,0.9862047285693416
sbm10k,n2v,16,9,5.06,-1,xgboost,3,0.9848,0.9847527901114416,0.9850922214347416,0.984846638708992
sbm10k,n2v,16,9,5.05,-1,xgboost,4,0.9844,0.9845112045124136,0.9842546742003192,0.9842781465689828
sbm10k,n2v,16,9,5.21,-1,xgboost,5,0.9884,0.98805086366003,0.9882573140166746,0.9880327117820804
sbm10k,n2v,16,9,5.05,-1,xgboost,6,0.9892,0.9890834308106876,0.9893329443112948,0.9891570618531712
sbm10k,n2v,16,9,5.05,-1,xgboost,7,0.9856,0.9855240651304388,0.985409153006462,0.9853701609750016
sbm10k,n2v,16,9,5.07,-1,xgboost,8,0.9868,0.9866127138611592,0.9864592097763794,0.9864675100787584
sbm10k,n2v,16,9,4.95,-1,xgboost,9,0.9904,0.9902639531951604,0.9905562164695028,0.990330354432547
sbm10k,n2v,18,9,6.32,-1,xgboost,0,0.9848,0.9844529858418424,0.9846822494481342,0.984495026700232
sbm10k,n2v,18,9,6.11,-1,xgboost,1,0.9812,0.9806858861944658,0.9810551219894716,0.9807093949764404
sbm10k,n2v,18,9,6.26,-1,xgboost,2,0.9884,0.9881510877970372,0.988303401235906,0.9881390378016934
sbm10k,n2v,18,9,6.38,-1,xgboost,3,0.978,0.9782026526131684,0.977620472901043,0.977697483516604
sbm10k,n2v,18,9,6.19,-1,xgboost,4,0.9796,0.9797760992576298,0.979350461938532,0.9794509318385836
sbm10k,n2v,18,9,6.23,-1,xgboost,5,0.986,0.98558863293338,0.9855906297395584,0.9854513440331996
sbm10k,n2v,18,9,6.39,-1,xgboost,6,0.9788,0.9782080910810744,0.9792142755125408,0.9785799031987638
sbm10k,n2v,18,9,6.18,-1,xgboost,7,0.9856,0.985414384786088,0.985357568980182,0.985278893663163
sbm10k,n2v,18,9,6.06,-1,xgboost,8,0.9824,0.9822763469653676,0.982204658222694,0.9821136413456456
sbm10k,n2v,18,9,6.14,-1,xgboost,9,0.9892,0.9892387848441812,0.9890145537080176,0.9890415091102536
sbm10k,n2v,20,9,6.74,-1,xgboost,0,0.9856,0.9851972773934492,0.9854941174656744,0.9852625800589632
sbm10k,n2v,20,9,6.82,-1,xgboost,1,0.9832,0.9829902498710112,0.9822424264518926,0.9824963938251924
sbm10k,n2v,20,9,6.77,-1,xgboost,2,0.9864,0.9859980504494767,0.9864506546828068,0.986157282474408
sbm10k,n2v,20,9,7.82,-1,xgboost,3,0.9796,0.9793152016820268,0.9793677449757878,0.979223786751484
sbm10k,n2v,20,9,6.66,-1,xgboost,4,0.978,0.9783955914236274,0.9776112314360648,0.977826688890746
sbm10k,n2v,20,9,6.67,-1,xgboost,5,0.9836,0.9840295520572764,0.9839826554625176,0.9838988062084596
sbm10k,n2v,20,9,6.85,-1,xgboost,6,0.9848,0.9845687701183136,0.9849297667225024,0.9846572999686783
sbm10k,n2v,20,9,6.62,-1,xgboost,7,0.9856,0.9855396664932772,0.9849949096016988,0.985146349781824
sbm10k,n2v,20,9,6.65,-1,xgboost,8,0.9872,0.9870227924461482,0.9871786202731304,0.9870528446351496
sbm10k,n2v,20,9,6.75,-1,xgboost,9,0.9888,0.988496875887076,0.9883267989478984,0.9883352808413444
sbm10k,n2v,22,9,7.65,-1,xgboost,0,0.9844,0.9843225366335316,0.983865977582874,0.9839703345816128
sbm10k,n2v,22,9,9.75,-1,xgboost,1,0.9836,0.9834745322415476,0.9830698951354884,0.9831519272261732
sbm10k,n2v,22,9,11.05,-1,xgboost,2,0.9848,0.9845781539821707,0.984699838699644,0.984556650541548
sbm10k,n2v,22,9,7.28,-1,xgboost,3,0.9772,0.977257974227264,0.9773676200460026,0.9771486226560055
sbm10k,n2v,22,9,7.63,-1,xgboost,4,0.9808,0.9809843144664754,0.9810207075915258,0.9809004993652268
sbm10k,n2v,22,9,7.64,-1,xgboost,5,0.9804,0.9801516185734336,0.9795403527742352,0.9796668056157168
sbm10k,n2v,22,9,7.62,-1,xgboost,6,0.9764,0.9761787549998648,0.9761320646941486,0.975983840815804
sbm10k,n2v,22,9,7.71,-1,xgboost,7,0.9804,0.9812752974794196,0.9800799005905284,0.9805239681600856
sbm10k,n2v,22,9,7.84,-1,xgboost,8,0.9832,0.983358458617782,0.9829133393752104,0.9830292529985044
sbm10k,n2v,22,9,7.83,-1,xgboost,9,0.9848,0.9843983996077208,0.9853096954025908,0.9847316817853728
