graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
sbm10k,n2v,24,9,73.09,1100,3.75,0.00484802792386,0.0,0.0,7.25,0.0999999999999999,0.0131480797076987
sbm10k,n2v,26,9,71.16,1100,3.5,0.003446053756285,0.0,0.0,6.5,0.0899999999999999,0.0125424686565285
sbm10k,n2v,28,9,66.17,1100,3.5,0.0018198507851422,0.0,0.0,5.75,0.0899999999999999,0.0125424686565285
sbm10k,n2v,30,9,73.24,1100,3.0,0.0007186579884176,0.0,0.0,5.0,0.0879999999999999,0.0124159463916368
sbm10k,n2v,32,9,76.97,1100,3.5,0.0004570710654253,0.0,0.0,5.5,0.0795,0.0118559547823024
sbm10k,n2v,2,9,61.13,1200,2.0,0.1341080786252744,0.0,0.0,4.25,0.3129999999999999,0.0203231775271486
sbm10k,n2v,4,9,60.53,1200,4.5,0.1105563407847219,0.0,0.0,4.5,0.254,0.0190777584427521
sbm10k,n2v,6,9,69.17,1200,6.0,0.0723373564231188,0.0,0.0,8.75,0.2105,0.0178666525068351
sbm10k,n2v,8,9,66.85,1200,5.75,0.0424308679320499,0.0,0.0,7.0,0.2075,0.017772550604795
sbm10k,n2v,10,9,66.29,1200,5.5,0.028086199591316,0.0,0.0,6.25,0.1714999999999999,0.0165203556317653
sbm10k,n2v,12,9,64.42,1200,5.0,0.0197572639190586,0.0,0.0,5.5,0.161,0.016107754132715
sbm10k,n2v,14,9,61.3,1200,4.75,0.0134687033683072,0.0,0.0,4.75,0.1444999999999999,0.0154093742832082
sbm10k,n2v,16,9,67.25,1200,4.5,0.0088824424351577,0.0,0.0,5.5,0.1404999999999999,0.0152300797043219
sbm10k,n2v,18,9,69.06,1200,4.5,0.0082930496981627,0.0,0.0,5.75,0.1354999999999999,0.0150000677265137
sbm10k,n2v,20,9,66.44,1200,4.25,0.007621327523689,0.0,0.0,5.75,0.1159999999999999,0.014034475950316
sbm10k,n2v,22,9,66.95,1200,4.0,0.0059863636570254,0.0,0.0,3.75,0.1115,0.013794540014078
sbm10k,n2v,24,9,75.62,1200,3.75,0.0048848587165573,0.0,0.0,5.75,0.1015,0.0132352800574827
sbm10k,n2v,26,9,66.0,1200,3.75,0.0032961727572221,0.0,0.0,5.5,0.0929999999999999,0.012728762736417
sbm10k,n2v,28,9,65.99,1200,3.5,0.0018227219300475,0.0,0.0,4.25,0.0919999999999999,0.0126671207778247
sbm10k,n2v,30,9,73.43,1200,3.25,0.0005645618262139,0.0,0.0,5.5,0.0899999999999999,0.0125424686565285
sbm10k,n2v,32,9,69.64,1200,3.5,0.0004135907768648,0.0,0.0,5.75,0.0815,0.011991111966786
sbm10k,n2v,2,9,66.25,1300,2.0,0.1341076857474652,0.0,0.0,4.25,0.3125,0.0203143268409268
sbm10k,n2v,4,9,68.14,1300,4.75,0.1103449498272062,0.0,0.0,4.25,0.2524999999999999,0.019040456795991
sbm10k,n2v,6,9,67.74,1300,6.0,0.0724558547155042,0.0,0.0,4.5,0.2149999999999999,0.0180050831711491
sbm10k,n2v,8,9,70.2,1300,6.0,0.0419034635595267,0.0,0.0,6.25,0.2085,0.0178040810546346
sbm10k,n2v,10,9,71.77,1300,5.5,0.0278287419317791,0.0,0.0,6.25,0.1725,0.0165584478439254
sbm10k,n2v,12,9,69.36,1300,5.0,0.0197696594820301,0.0,0.0,5.25,0.159,0.0160264610940781
sbm10k,n2v,14,9,65.49,1300,5.0,0.0132419962764395,0.0,0.0,5.0,0.145,0.0154314996030845
sbm10k,n2v,16,9,67.13,1300,4.75,0.0088597728487411,0.0,0.0,4.5,0.1404999999999999,0.0152300797043219
sbm10k,n2v,18,9,71.37,1300,4.5,0.0081776535909117,0.0,0.0,5.5,0.134,0.0149297459857828
sbm10k,n2v,20,9,72.94,1300,4.25,0.0076522321554269,0.0,0.0,5.25,0.1119999999999999,0.0138215442263156
sbm10k,n2v,22,9,68.9,1300,4.0,0.0060175616843117,0.0,0.0,5.75,0.1075,0.0135752994442111
sbm10k,n2v,24,9,67.78,1300,3.75,0.0049177580924013,0.0,0.0,6.25,0.1025,0.0132929152182657
sbm10k,n2v,26,9,64.4,1300,3.75,0.0032404517718968,0.0,0.0,5.25,0.0945,0.0128203890658591
sbm10k,n2v,28,9,69.76,1300,3.5,0.0018257379732223,0.0,0.0,6.0,0.0895,0.0125110156182461
sbm10k,n2v,30,9,66.97,1300,3.25,0.0005511605321133,0.0,0.0,4.0,0.0899999999999999,0.0125424686565285
sbm10k,n2v,32,9,66.43,1300,3.5,0.0004236880982015,0.0,0.0,5.5,0.0815,0.011991111966786
sbm10k,n2v,2,9,61.62,1400,2.0,0.1341082961372615,0.0,0.0,2.25,0.3199999999999999,0.0204442187427155
sbm10k,n2v,4,9,68.06,1400,4.75,0.1104030425006202,0.0,0.0,4.25,0.2514999999999999,0.0190154221146941
sbm10k,n2v,6,9,73.04,1400,6.25,0.0725802227409006,0.0,0.0,4.5,0.2139999999999999,0.0179745999454786
sbm10k,n2v,8,9,77.7,1400,6.0,0.0420059940544117,0.0,0.0,8.75,0.2065,0.0177408558474499
sbm10k,n2v,10,9,68.64,1400,5.5,0.0279282465286657,0.0,0.0,6.0,0.1714999999999999,0.0165203556317653
sbm10k,n2v,12,9,69.28,1400,5.25,0.0190338980618138,0.0,0.0,5.5,0.1594999999999999,0.0160468678501444
sbm10k,n2v,14,9,67.31,1400,5.0,0.0132478848187916,0.0,0.0,5.0,0.1454999999999999,0.0154535621718748
sbm10k,n2v,16,9,65.54,1400,4.75,0.0086750272936449,0.0,0.0,3.75,0.1444999999999999,0.0154093742832082
sbm10k,n2v,18,9,69.02,1400,4.75,0.0079397021811406,0.0,0.0,5.5,0.1334999999999999,0.0149061672538583
sbm10k,n2v,20,9,69.34,1400,4.5,0.0074090633662922,0.0,0.0,5.75,0.1129999999999999,0.013875291160909
sbm10k,n2v,22,9,70.29,1400,4.0,0.0060551167064229,0.0,0.0,5.75,0.1089999999999999,0.0136581907733052
sbm10k,n2v,24,9,72.9,1400,4.0,0.0048237573739731,0.0,0.0,6.25,0.0999999999999999,0.0131480797076987
sbm10k,n2v,26,9,72.45,1400,3.75,0.0032468341760776,0.0,0.0,5.25,0.0949999999999999,0.0128507112643619
sbm10k,n2v,28,9,69.86,1400,3.75,0.0019365272254459,0.0,0.0,4.25,0.0919999999999999,0.0126671207778247
sbm10k,n2v,30,9,75.64,1400,3.5,0.0004377179004554,0.0,0.0,6.0,0.0905,0.0125738048259069
sbm10k,n2v,32,9,78.63,1400,3.5,0.0004311583116713,0.0,0.0,5.75,0.0815,0.011991111966786
sbm10k,n2v,2,9,69.15,1500,2.0,0.1341092193129839,0.0,0.0,4.5,0.3135,0.0203320007426716
sbm10k,n2v,4,9,69.31,1500,4.75,0.1104512837161791,0.0,0.0,4.5,0.252,0.0190279561908261
sbm10k,n2v,6,9,73.34,1500,6.25,0.0726934414393004,0.0,0.0,4.5,0.2129999999999999,0.0179439578911677
sbm10k,n2v,8,9,75.21,1500,6.25,0.0416095573957507,0.0,0.0,5.5,0.2089999999999999,0.0178197849369738
sbm10k,n2v,10,9,70.02,1500,5.5,0.0280350665955847,0.0,0.0,5.5,0.1735,0.016596336891013
sbm10k,n2v,12,9,72.86,1500,5.25,0.0191200919207175,0.0,0.0,5.0,0.1564999999999999,0.0159235827061625
sbm10k,n2v,14,9,71.58,1500,5.0,0.0132442838627911,0.0,0.0,5.25,0.144,0.0153871859415553
sbm10k,n2v,16,9,76.87,1500,5.0,0.0085107746339982,0.0,0.0,3.5,0.143,0.015342619098446
sbm10k,n2v,18,9,70.55,1500,4.75,0.007964757273812,0.0,0.0,5.0,0.133,0.0148825188997024
sbm10k,n2v,20,9,71.25,1500,4.5,0.0074416593352838,0.0,0.0,5.5,0.1119999999999999,0.0138215442263156
sbm10k,n2v,22,9,76.86,1500,4.0,0.0060961294552247,0.0,0.0,5.25,0.1079999999999999,0.0136030213114587
sbm10k,n2v,24,9,86.83,1500,4.0,0.0045707604653674,0.0,0.0,8.0,0.0999999999999999,0.0131480797076987
sbm10k,n2v,26,9,70.72,1500,3.75,0.0032620911417926,0.0,0.0,5.25,0.0975,0.0130007074807488
