graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
nlfr10k,n2v,10,1,51.0,375,6.75,0.0325446469978398,0.0,0.0,3.0,0.0584999999999999,0.0102855890545947
nlfr10k,n2v,12,1,49.55,375,6.0,0.0255260192696962,0.0,0.0,3.0,0.046,0.0091810885629101
nlfr10k,n2v,14,1,48.03,375,6.0,0.0242736197882047,0.0,0.0,3.5,0.047,0.0092754812705325
nlfr10k,n2v,16,1,50.84,375,5.75,0.0240367853317796,0.0,0.0,3.75,0.041,0.008690450805338
nlfr10k,n2v,18,1,55.01,375,5.75,0.0214646042148773,0.0,0.0,3.75,0.043,0.0088906040739648
nlfr10k,n2v,20,1,48.82,375,5.5,0.0181456775844877,0.0,0.0,4.75,0.038,0.0083795444267573
nlfr10k,n2v,22,1,54.49,375,5.5,0.015230607664002,0.0,0.0,4.0,0.0414999999999999,0.0087410012126758
nlfr10k,n2v,24,1,50.75,375,5.5,0.0071253703104306,0.0,0.0,6.25,0.0304999999999999,0.0075364166418796
nlfr10k,n2v,26,1,54.14,375,5.5,0.0055968395586074,0.0,0.0,6.5,0.03,0.0074763146001221
nlfr10k,n2v,28,1,51.65,375,5.75,0.0046939981500333,0.0,0.0,8.75,0.023,0.0065698018843797
nlfr10k,n2v,30,1,54.04,375,5.75,0.0039028733267605,0.0,0.0,7.25,0.023,0.0065698018843797
nlfr10k,n2v,32,1,54.33,375,6.0,0.0035471696269282,0.0,0.0,8.75,0.0244999999999999,0.0067754438821379
email,hope,2,ppr,19.34,210,0.25,0.1505624949603279,0.0,0.0,3.25,0.1210999999999999,0.0063943716600147
email,hope,2,katz,20.26,210,0.25,0.1505557785902638,0.0,0.0,0.5,0.1198,0.0063646593242372
email,hope,2,aa,15.58,210,0.25,0.1505697574025932,0.0,0.0,0.5,0.1200999999999999,0.0063715373590994
email,hope,4,ppr,15.57,210,10.0,0.1499351545835044,0.0,0.0,7.5,0.1215,0.0064034657834644
email,hope,4,katz,20.01,210,10.0,0.1267210595751353,0.0,0.0,1.25,0.1136,0.0062195664291331
email,hope,4,aa,14.34,210,10.0,0.1271970053957697,0.0,0.0,1.25,0.1133999999999999,0.006214790055215
email,hope,6,ppr,14.53,210,10.0,0.1495499001563531,0.0,0.0,1.25,0.1220999999999999,0.0064170648441791
email,hope,6,katz,14.25,210,10.0,0.1015106487541793,0.0,0.0,1.5,0.1079999999999999,0.00608345607036
email,hope,6,aa,14.29,210,10.0,0.1007329418018205,0.0,0.0,1.75,0.1091999999999999,0.0061130436198018
email,hope,8,ppr,14.03,210,10.0,0.1495388351372677,0.0,0.0,1.0,0.1220999999999999,0.0064170648441791
