graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,16,9,1.36,-1,kmeans,30,0,0.9959874449581868,0.9958879733081252
sbm10k,n2v,16,9,1.03,-1,kmeans,30,1,0.9959874449581868,0.9958879733081252
sbm10k,n2v,16,9,1.14,-1,kmeans,30,2,0.9959874449581868,0.9958879733081252
sbm10k,n2v,16,9,1.32,-1,kmeans,30,3,0.9857085146413276,0.9603688874218932
sbm10k,n2v,16,9,1.03,-1,kmeans,30,4,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.4,-1,kmeans,30,5,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.05,-1,kmeans,30,6,0.996190636776459,0.9960966633693882
sbm10k,n2v,16,9,1.1,-1,kmeans,30,7,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.45,-1,kmeans,30,8,0.9961906367764592,0.9960966633693882
sbm10k,n2v,16,9,1.21,-1,kmeans,30,9,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.3,-1,kmeans,30,10,0.9959874449581868,0.9958879733081252
sbm10k,n2v,16,9,1.49,-1,kmeans,30,11,0.985901410024142,0.9597585062175898
sbm10k,n2v,16,9,1.37,-1,kmeans,30,12,0.9961906367764592,0.9960966633693882
sbm10k,n2v,16,9,1.3,-1,kmeans,30,13,0.9959874449581868,0.9958879733081252
sbm10k,n2v,16,9,1.37,-1,kmeans,30,14,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.19,-1,kmeans,30,15,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.23,-1,kmeans,30,16,0.9961906367764588,0.9960966633693882
sbm10k,n2v,16,9,1.18,-1,kmeans,30,17,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.46,-1,kmeans,30,18,0.9959874449581864,0.9958879733081252
sbm10k,n2v,16,9,1.02,-1,kmeans,30,19,0.9959874449581864,0.9958879733081252
sbm10k,n2v,18,9,2.43,-1,kmeans,30,0,0.9951436463818892,0.995121742522778
